ID,Name,Concepticon_ID,Concepticon_Gloss,NorthEuraLex_Gloss,German,English,Russian
19_head,head,1256.0,HEAD,Kopf::N,Kopf [BSP:des Menschen],head [EX:of a human],голова [НАПР:человека]
20_back,back,1291.0,BACK,Rücken::N,Rücken [des Menschen],back [of a human],спина [человека]
21_belly,belly,1251.0,BELLY,Bauch::N,Bauch [des Menschen],belly [of a human],живот [человека]
22_navel,navel,1838.0,NAVEL,Nabel::N,Nabel [[Anatomie]],navel [[anatomy]],пупок [[анатомия]]
23_bosom,bosom,1402.0,BREAST,Busen::N,Busen [weibliche Brust],bosom [female breast],грудь [женская грудь]
24_breast,breast,1592.0,CHEST,Brust::N,Brust [BSP:eines Mannes],breast [EX:of a man],грудь [НАПР:мужчины]
25_shoulder,shoulder,1482.0,SHOULDER,Schulter::N,Schulter [[Anatomie]],shoulder [[anatomy]],плечо [[анатомия]]
26_arm,arm,1673.0,ARM,Arm::N,Arm [des Menschen],arm [of a human],рука [от пальцев до плеча]
27_elbow,elbow,981.0,ELBOW,Ellenbogen::N,Ellenbogen [des Menschen],elbow [of a human],локоть [человека]
28_hand,hand,1277.0,HAND,Hand::N,Hand [des Menschen],hand [of a human],кисть [руки]
29_palm,palm,1183.0,PALM OF HAND,Handfläche::N,Handfläche [[Anatomie]],palm [[anatomy]],ладонь [[анатомия]]
30_finger,finger,1303.0,FINGER,Finger::N,Finger [des Menschen],finger [of a human],палец [на руке человека]
31_fingernail,fingernail,1258.0,FINGERNAIL,Fingernagel::N,Fingernagel [[Anatomie]],fingernail [[anatomy]],ноготь на руке [человека]
32_nail,nail,1896.0,FINGERNAIL OR TOENAIL,Nagel[Anatomie]::N,Nagel [[Anatomie]],nail [[anatomy]],ноготь [на руке или на ноге]
33_toe,toe,1389.0,TOE,Zeh::N,Zeh [des Menschen],toe [of a human],палец ноги [человека]
34_foot,foot,1301.0,FOOT,Fuß::N,Fuß [des Menschen],foot [of a human],ступня [человека]
35_heel,heel,980.0,HEEL,Ferse::N,Ferse [[Anatomie]],heel [[anatomy]],пятка [[анатомия]]
36_knee,knee,1371.0,KNEE,Knie::N,Knie [[Anatomie]],knee [[anatomy]],колено [[анатомия]]
37_thigh,thigh,471.0,UPPER LEG (THIGH),Oberschenkel::N,Oberschenkel [[Anatomie]],thigh [[anatomy]],бедро [верхняя часть ноги до колена]
38_leg,leg,1297.0,LEG,Bein::N,Bein [des Menschen],leg [of a human],нога [нога не включая ступню]
39_body,body,1480.0,BODY,Körper::N,Körper [eines Lebewesens],body [of a living organism],тело [живого существа]
40_skin,skin,763.0,SKIN,Haut::N,Haut [des Menschen],skin [of a human],кожа [человека]
41_blood,blood,946.0,BLOOD,Blut::N,Blut [Flüssigkeit],blood [fluid],кровь [жидкая]
42_vein,vein,1924.0,VEIN,Ader[Anatomie]::N,Ader [[Anatomie]],vein [[anatomy]],вена [[анатомия]]
43_sinew,sinew,1137.0,TENDON,Sehne::N,Sehne [[Anatomie]],sinew [[anatomy]],сухожилие [[анатомия]]
44_bone,bone,1394.0,BONE,Knochen::N,Knochen [[Anatomie]],bone [[anatomy]],кость [[анатомия]]
45_brain,brain,1583.0,BRAIN,Gehirn::N,Gehirn [[Anatomie]],brain [[anatomy]],мозг [[анатомия]]
46_heart,heart,1223.0,HEART,Herz::N,Herz [[Anatomie]],heart [[anatomy]],сердце [[анатомия]]
47_stomach,stomach,819.0,STOMACH,Magen::N,Magen [[Anatomie]],stomach [[anatomy]],желудок [[анатомия]]
48_liver,liver,1224.0,LIVER,Leber::N,Leber [[Anatomie]],liver [[anatomy]],печень [[анатомия]]
49_breath,breath,870.0,BREATH,Atem::N,Atem [Atmung],breath [breathing],дыхание [процесс]
50_hunger,hunger,1864.0,HUNGER,Hunger::N,Hunger [Zustand],hunger [condition],голод [состояние]
51_tear,tear,1651.0,TEAR (OF EYE),Träne::N,Träne [Tropfen der Flüssigkeit],tear [drop of fluid],слеза [капля]
52_flavour,flavour,2190.0,TASTE,Geschmack[Speise]::N,Geschmack [von etwas],flavour [of something],вкус [чего-либо]
53_odour,odour,3704.0,ODOR (SMELL),Geruch::N,Geruch [von etwas],odour [of something],запах [чего-либо]
54_sleep,sleep,2972.0,SLEEP (STATE),Schlaf::N,Schlaf [Zustand],sleep [condition],сон [состояние]
55_dream,dream,2374.0,DREAM,Traum[nachts]::N,Traum [im Schlaf],dream [while sleeping],"сновидение [то, что снится]"
56_sky,sky,1732.0,SKY,Himmel::N,Himmel [sichtbar],sky [visible],небо [НАПР:звёзды на небе/солнце на небе]
57_sun,sun,1343.0,SUN,Sonne::N,Sonne [Himmelskörper],sun [celestial body],солнце [НАПР:солнце на небе]
58_moon,moon,1313.0,MOON,Mond::N,Mond [Himmelskörper],moon [celestial body],луна [НАПР:луна на небе]
59_star,star,1430.0,STAR,Stern::N,Stern [am Nachthimmel],star [in the night sky],звезда [на ночном небе]
60_air,air,27.0,AIR,Luft::N,Luft [wo Vögel fliegen],air [where birds fly],воздух [НАПР:птицы летают по воздуху]
61_wind,wind,960.0,WIND,Wind::N,Wind [draußen],wind [outside],ветер [на улице]
62_wave,wave,978.0,WAVE,Welle::N,Welle [auf Wasser],wave [on water],волна [на воде]
63_water,water,948.0,WATER,Wasser::N,Wasser [kaltes Wasser],water [cold water],вода [холодная вода]
64_stone,stone,857.0,STONE,Stein[Material]::N,Stein [Substanz],stone [substance],камень [вещество]
65_ground,ground,2159.0,GROUND,Boden[Erde]::N,Boden [Erdboden],"ground [soil, earth]","земля  [земля, пол; НАПР:падать на землю]"
66_earth,earth,1228.0,EARTH (SOIL),Erde::N,Erde [Substanz],earth [substance],"земля, почва [вещество; НАПР:комок земли]"
67_dust,dust,2.0,DUST,Staub::N,Staub [Ablagerung],dust [settled],пыль [НАПР:вытереть пыль]
68_smoke,smoke,778.0,SMOKE (EXHAUST),Rauch::N,Rauch [von einem Feuer],smoke [from a fire],дым [от огня]
69_spark,spark,518.0,SPARK,Funke::N,Funke [von einem Feuer],spark [from a fire],искра [от огня]
70_fire,fire,221.0,FIRE,Feuer::N,Feuer [Flammen],fire [flames],огонь [пламя]
71_light,light,630.0,LIGHT (RADIATION),Licht::N,Licht [natürlich],light [from a natural source],свет [природный]
72_shadow,shadow,1388.0,SHADE,Schatten::N,Schatten [schattiger Ort],shadow [shady place],тень [тенистое место]
73_weather,weather,952.0,WEATHER,Wetter::N,Wetter [],weather [],погода []
74_fog,fog,249.0,FOG,Nebel::N,Nebel [],fog [],туман []
75_cloud,cloud,1489.0,CLOUD,Wolke::N,Wolke [hell],cloud [bright],облако [свётлое]
76_rain,rain,658.0,RAIN (PRECIPITATION),Regen::N,Regen [fallend],rain [falling],дождь [НАПР:дождь идёт]
77_snow,snow,784.0,SNOW,Schnee::N,Schnee [liegend],snow [on the ground],снег [на земле]
78_ice,ice,617.0,ICE,Eis::N,Eis [natürliche Substanz],ice [natural substance],"лёд [природный НАПР:на реке, озере]"
79_frost,frost,2034.0,FROST,Frost::N,Frost [Temperatur unter Gefrierpunkt],frost [temperature below freezing point],мороз [сильный холод]
80_chill,chill,2932.0,COLD (CHILL),Kälte::N,Kälte [niedrige Temperatur],chill [low temperature],холод [низкая температура воздуха]
81_heat,heat,612.0,HEAT,Hitze::N,Hitze [hohe Temperatur],heat [high temperature],жара [высокая температура воздуха]
82_hoarfrost,hoarfrost,2942.0,HOARFROST,Raureif::N,Raureif [],hoarfrost [],иней []
83_rainbow,rainbow,1733.0,RAINBOW,Regenbogen::N,Regenbogen [],rainbow [],радуга []
84_thunder,thunder,1150.0,THUNDER,Donner::N,Donner [bei Gewitter],thunder [during a thunderstorm],гром [во время грозы]
85_current,current,2935.0,CURRENT (STREAM),Strömung::N,Strömung [eines Flusses],current [of a river],течение [реки]
86_drop,drop,3748.0,DROP (OF A LIQUID),Tropfen::N,Tropfen [BSP:Wasser],drop [EX:water],капля [НАПР:воды]
87_foam,foam,1768.0,FOAM,Schaum::N,Schaum [auf Flüssigkeit],foam [on liquid],пена [на поверхности жидкости]
88_dirt,dirt,25.0,DIRT,Schmutz::N,Schmutz [auf Gegenständen],dirt [on objects],грязь [на предметах]
89_lake,lake,624.0,LAKE,See::N,See [Binnensee],lake [],озеро []
90_swamp,swamp,1145.0,SWAMP,Sumpf::N,Sumpf [Feuchtgebiet],swamp [area of impassable wet land],топь [вязкое труднопроходимое место]
91_moor,moor,2962.0,MOORLAND,Moor::N,Moor [Torfmoor],moor [wasteland covered by heath],болото [торфяное болото]
92_meadow,meadow,2819.0,GRASSLAND,Wiese::N,Wiese [Land mit Grasbewuchs],meadow [land covered with grass],луг [поросший травой]
93_forest,forest,420.0,FOREST,Wald::N,Wald [],forest [],лес []
94_hill,hill,614.0,HILL,Hügel::N,Hügel [möglicherweise bewaldet],hill [possibly wooded],холм [горка]
95_elevation,elevation,2936.0,ELEVATION,Anhöhe::N,Anhöhe [höher gelegenes Gelände],elevation [of the ground],"возвышенность [более высокое, возвышающееся над окрестностью место]"
96_mountain,mountain,639.0,MOUNTAIN,Berg::N,Berg [unbewaldet],mountain [woodless],гора [не поросшая лесом]
97_summit,summit,1614.0,SUMMIT,Gipfel::N,Gipfel [eines Berges],summit [of a mountain],вершина [горы]
98_cave,cave,1155.0,CAVE,Höhle::N,Höhle [in einem Berg],cave [in a mountain],пещера [в горе]
99_slope,slope,3076.0,SLOPE,Abhang::N,Abhang [eines Berges],slope [of a mountain],склон [горы]
100_source,source,849.0,SPRING (OF WATER),Quelle::N,Quelle [eines Flusses],source [of a river],источник [реки]
101_brook,brook,3821.0,BROOK,Bach::N,Bach [kleiner Fluss],brook [small river],ручей [маленькая река]
102_river,river,666.0,RIVER,Fluss::N,Fluss [größerer Fluss],river [larger river],река [большая река]
103_shore,shore,3464.0,SHORE OF LAKE,Ufer::N,Ufer [eines Sees],shore [of a lake],берег [НАПР:озeра]
104_coast,coast,1525.0,COAST,Küste::N,Küste [Meeresküste],coast [seashore],побережье [берег моря]
105_land,land,166.0,MAINLAND,Festland::N,Festland [],land [as opposed to sea],суша [как противоположность морю]
106_sea,sea,1474.0,SEA,Meer::N,Meer [],sea [],море []
107_covebay,"cove, bay",663.0,BAY,Bucht::N,Bucht [kleine Bucht],"cove, bay [small coastal inlet]",бухта [небольшой залив в море]
108_island,island,622.0,ISLAND,Insel::N,Insel [],island [],остров []
109_flower,flower,239.0,FLOWER,Blume::N,Blume [],flower [],цветок []
110_grass,grass,606.0,GRASS,Gras::N,Gras [Bodenbewuchs],grass [ground cover],трава [зелёный покров земли НАПР:лежать на траве]
111_root,root,670.0,ROOT,Wurzel::N,Wurzel [einer Pflanze],root [of a plant],корень [растения]
112_tree,tree,906.0,TREE,Baum::N,Baum [Pflanze],tree [plant],дерево [растение]
113_trunk,trunk,344.0,TREE TRUNK,Stamm[Botanik]::N,Stamm [eines Baumes],trunk [of a tree],ствол [дерева]
114_bark,bark,1204.0,BARK,Rinde::N,Rinde [eines Baumes],bark [of a tree],кора [дерева]
115_limb,limb,1531.0,BRANCH,Ast::N,Ast [eines Baumes],limb [of a tree],сук [дерева]
116_twig,twig,3222.0,TWIG,Zweig::N,Zweig [eines Baumes],twig [of a tree],ветвь [дерева]
117_leaf,leaf,628.0,LEAF,Blatt[Botanik]::N,Blatt [einer Pflanze],leaf [of a plant],лист [растения]
118_birch,birch,1855.0,BIRCH,Birke::N,Birke [],birch [],берёза []
119_pine,pine,1740.0,PINE,Kiefer[Baum]::N,Kiefer [],pine [pine tree],сосна []
120_willow,willow,818.0,WILLOW,Weide[Baum]::N,Weide [],willow [],ива []
121_fir,fir,1915.0,FIR,Tanne::N,Tanne [],fir [],ель []
122_horn,horn,1393.0,HORN (ANATOMY),Horn::N,Horn [eines Tieres],horn [of an animal],рог [животного]
123_feather,feather,1201.0,FEATHER,Feder::N,Feder [eines Vogels],feather [of a bird],перо [птицы]
124_fur,fur,580.0,FUR,Fell::N,Fell [eines Tieres],fur [of an animal],шкура [животного]
125_wing,wing,1257.0,WING,Flügel::N,Flügel [eines Vogels],wing [of a bird],крыло [птицы]
126_claw,claw,72.0,CLAW,Klaue::N,Klaue [BSP:eines Vogel],claw [EX:of a bird],коготь [НАПР:птицы]
127_paw,paw,2965.0,PAW,Kralle::N,Kralle [BSP:einer Katze],paw [EX:of a cat],лапа [НАПР:кошки]
128_tail,tail,1220.0,TAIL,Schwanz::N,Schwanz [BSP:eines Hundes],tail [EX:of a dog],хвост [НАПР:собаки]
129_egg,egg,744.0,EGG,Ei::N,Ei [BSP:eines Vogel],egg [EX:of a bird],яйцо [НАПР:птицы]
130_nest,nest,539.0,NEST,Nest::N,Nest [BSP:eines Vogel],nest [EX:of a bird],гнездо [НАПР:птицы]
131_lair,lair,2949.0,LAIR,Bau[Tier]::N,Bau [BSP:eines Fuchses],lair [EX:of a fox],нора [НАПР:лисы]
132_animal,animal,619.0,ANIMAL,Tier::N,Tier [],animal [],животное []
133_flock,flock,2939.0,FLOCK (OF ANIMALS),Herde::N,Herde [BSP:Schafherde],flock [EX:of sheep],стадо [НАПР:овец]
134_cow,cow,1007.0,COW,Kuh::N,Kuh [],cow [],корова []
135_bull,bull,1008.0,BULL,Bulle::N,Bulle [männliches Rind],bull [male bovine],бык [самец коровы]
136_horse,horse,615.0,HORSE,Pferd::N,Pferd [],horse [],лошадь []
137_sheep,sheep,1331.0,SHEEP,Schaf::N,Schaf [],sheep [],овца []
138_pig,pig,1337.0,PIG,Schwein::N,Schwein [],pig [],свинья []
139_dog,dog,2009.0,DOG,Hund::N,Hund [],dog [],собака []
140_cat,cat,1208.0,CAT,Katze::N,Katze [],cat [],кошка []
141_bear,bear,1820.0,BEAR,Bär::N,Bär [],bear [],медведь []
142_squirrel,squirrel,1628.0,SQUIRREL,Eichhörnchen::N,Eichhörnchen [],squirrel [],белка []
143_elk,elk,1772.0,ELK,Elch::N,Elch [],elk [],лось []
144_fox,fox,1312.0,FOX,Fuchs::N,Fuchs [],fox [],лиса []
145_hare,hare,1190.0,HARE,Hase::N,Hase [],hare [],заяц []
146_mouse,mouse,1491.0,MOUSE,Maus::N,Maus [],mouse [],мышь []
147_wolf,wolf,522.0,WOLF,Wolf::N,Wolf [],wolf [],волк []
148_bird,bird,937.0,BIRD,Vogel::N,Vogel [],bird [],птица []
149_swarm,swarm,2974.0,SWARM (OF BIRDS),Schwarm[Vögel]::N,Schwarm [BSP:Vogelschwarm],swarm [EX:of birds],стая [НАПР:птиц]
150_chicken,chicken,1318.0,CHICKEN,Huhn::N,Huhn [],chicken [],курица []
151_cock,cock,1511.0,ROOSTER,Hahn::N,Hahn [männliches Huhn],cock [male chicken],петух [самец курицы]
152_goose,goose,1187.0,GOOSE,Gans::N,Gans [],goose [],гусь []
153_eagle,eagle,1905.0,EAGLE,Adler::N,Adler [],eagle [],орёл []
154_duck,duck,1360.0,DUCK,Ente::N,Ente [],duck [],утка []
155_owl,owl,735.0,OWL,Eule::N,Eule [],owl [],сова []
156_crane,crane,1830.0,CRANE,Kranich::N,Kranich [],crane [],журавль []
157_crow,crow,913.0,CROW,Krähe::N,Krähe [],crow [],ворона []
158_cuckoo,cuckoo,2934.0,CUCKOO,Kuckuck::N,Kuckuck [],cuckoo [],кукушка []
159_swan,swan,2837.0,SWAN,Schwan::N,Schwan [],swan [],лебедь []
160_fish,fish,227.0,FISH,Fisch::N,Fisch [],fish [],рыба []
161_perch,perch,2966.0,PERCH (FISH),Barsch::N,Barsch [],perch [],окунь []
162_pike,pike,2967.0,PIKE (FISH),Hecht::N,Hecht [],pike [],щука []
163_snake,snake,730.0,SNAKE,Schlange[Tier]::N,Schlange [],snake [],змея []
164_worm,worm,1219.0,WORM,Wurm::N,Wurm [],worm [],червяк []
165_spider,spider,843.0,SPIDER,Spinne::N,Spinne [],spider [],паук []
166_ant,ant,587.0,ANT,Ameise::N,Ameise [],ant [],муравей []
167_louse,louse,1392.0,LOUSE,Laus::N,Laus [],louse [],вошь []
168_gnat,gnat,1509.0,MOSQUITO,Mücke::N,Mücke [],gnat [],комар []
169_fly,fly,1504.0,FLY (INSECT),Fliege[Insekt]::N,Fliege [Insekt],fly [insect],муха [насекомое]
170_butterfly,butterfly,1791.0,BUTTERFLY,Schmetterling::N,Schmetterling [],butterfly [],бабочка []
171_berry,berry,904.0,BERRY,Beere::N,Beere [generische Bezeichnung],berry [generic term],ягода [общee название]
172_apple,apple,1320.0,APPLE,Apfel::N,Apfel [],apple [],яблоко []
173_mushroom,mushroom,641.0,MUSHROOM,Pilz::N,Pilz [generische Bezeichnung],mushroom [generic term],гриб [общee название]
174_onion,onion,2366.0,ONION,Zwiebel::N,Zwiebel [essbar],onion [edible],луковица [репчатый лук]
175_seed,seed,714.0,SEED,Saat::N,Saat [Saatgut],seed [fertilized grain],семена [для посева]
176_grain,grain,605.0,GRAIN,Korn::N,Korn [Einzelkorn],grain [single grain],зерно [одно]
177_hay,hay,342.0,HAY,Heu::N,Heu [],hay [],сено []
178_peelhusk,"peel, husk",2373.0,SKIN (OF FRUIT),Schale[Frucht]::N,Schale [BSP:eines Apfels],"peel, husk [EX:of an apple]","кожура́, шелуха [НАПР:яблока]"
179_pit,pit,2539.0,PIT (POTHOLE),Grube::N,Grube [Loch im Boden],pit [hole in the ground],яма [углубление в земле]
180_trap,trap,1075.0,TRAP (PITFALL),Falle::N,Falle [BSP:Mausefalle],trap [EX:mouse trap],ловушка [НАПР:мышело́вка]
181_noose,noose,2604.0,NOOSE,Schlinge::N,Schlinge [BSP:Schlaufe an Schnur],noose [EX:on a rope],петля [НАПР:на верёвке]
182_track,track,318.0,FOOTPRINT,Spur::N,Spur [BSP:eines Tieres],track [EX:of an animal],след [НАПР:животного]
183_ash,ash,646.0,ASH,Asche::N,Asche [Überbleibsel eines Feuers],ash [solid remains of a fire],зола [пепел]
184_filth,filth,,,Dreck::N,Dreck [Verschmutzung],filth [that which soils or defiles],"грязь [то, что пачкает]"
185_iron,iron,621.0,IRON,Eisen::N,Eisen [Metall],iron [metal],железо [металл]
186_gold,gold,1369.0,GOLD,Gold::N,Gold [Metall],gold [metal],золото [металл]
187_silver,silver,759.0,SILVER,Silber::N,Silber [Metall],silver [metal],серебро [металл]
188_coal,coal,2658.0,COAL,Kohle::N,Kohle [brennbare Substanz],coal [combustible substance],уголь [горючее вещество]
189_glass,glass,604.0,GLASS,Glas[Material]::N,Glas [Material],glass [transparent substance],стекло [прозрачный материал]
190_clay,clay,1399.0,CLAY,Lehm::N,Lehm [formbares Material],clay [ductile material],глина [пластичный материал]
191_sand,sand,671.0,SAND,Sand::N,Sand [Material],sand [material],песок [материал]
192_human,human,683.0,PERSON,Mensch::N,Mensch [],human [human being],человек []
193_man,man,1554.0,MAN,Mann::N,Mann [erwachsener männlicher Mensch],man [adult male human],мужчина []
194_woman,woman,962.0,WOMAN,Frau::N,Frau [erwachsener weiblicher Mensch],woman [],женщина []
195_child,child,1304.0,CHILD (YOUNG HUMAN),Kind::N,Kind [BSP:10 Jahre alt],child [EX:10 years old],ребёнок [НАПР:десятилетний]
196_boy,boy,1366.0,BOY,Junge::N,Junge [männliches Kind],boy [male child],мальчик [ребёнок мужского пола]
197_girl,girl,1646.0,GIRL,Mädchen::N,Mädchen [weibliches Kind],girl [female child],девочка [ребёнок женского пола]
198_family,family,194.0,FAMILY,Familie::N,"Familie [Gruppe nah verwandter Menschen, zusammenlebend]",family [group of close relatives living together],"семья [группа близких родственников, живущих вместе]"
199_grandfather,grandfather,1383.0,GRANDFATHER,Großvater::N,Großvater [BSP:Vater des Vaters],grandfather [EX:father's father],дедушка [НАПР:отец отца]
200_grandmother,grandmother,1496.0,GRANDMOTHER,Großmutter::N,Großmutter [BSP:Mutter des Vaters],grandmother [EX:father's mother],бабушка [НАПР:мать отца]
201_parents,parents,505.0,PARENTS,Eltern::N,Eltern [],parents [],родители []
202_father,father,1217.0,FATHER,Vater::N,Vater [],father [],отец []
203_mother,mother,1216.0,MOTHER,Mutter::N,Mutter [],mother [],мать []
204_son,son,1620.0,SON,Sohn::N,Sohn [],son [],сын []
205_daughter,daughter,1357.0,DAUGHTER,Tochter::N,Tochter [],daughter [],дочь []
206_brother,brother,1262.0,BROTHER,Bruder::N,Bruder [BSP:älterer Bruder],brother [EX:elder brother],брат [НАПР:старший брат]
207_sister,sister,1263.0,SISTER,Schwester::N,Schwester [BSP:ältere Schwester],sister [EX:elder sister],сестра [НАПР:старшая сестра]
208_uncle,uncle,1327.0,UNCLE,Onkel::N,Onkel [BSP:Bruder des Vaters],uncle [EX:father's brother],дядя [НАПР:брат отца]
209_aunt,aunt,1272.0,AUNT,Tante::N,Tante [BSP:Schwester des Vaters],aunt [EX:father's sister],тётя [НАПР:сестра отца]
210_husband,husband,1200.0,HUSBAND,Ehemann::N,Ehemann [Gatte],husband [male spouse],муж [супруг]
211_wife,wife,1199.0,WIFE,Ehefrau::N,Ehefrau [Gattin],wife [female spouse],жена [супруга]
212_joy,joy,2524.0,JOY,Freude::N,Freude [Gefühl],joy [emotion],радость [чувство]
213_laughter,laughter,2958.0,LAUGHTER,Gelächter::N,Gelächter [],laughter [],смех []
214_happiness,happiness,2941.0,HAPPINESS,Glück::N,Glück [Glückseligkeit],happiness [],счастье [чувство довольства]
215_grief,grief,1668.0,GRIEF,Kummer::N,"Kummer [Trauer, Traurigkeit]","grief [sorrow, sadness]",горе [сильная печаль]
216_wish,wish,,,Wunsch::N,Wunsch [Sehnsucht],wish [longing],желание [стремление к осуществлению чего-нибудь]
217_desire,desire,2960.0,LONGING (WISH),Lust::N,Lust [Streben nach Besitz],desire [to have something],влечение [стремление к обладанию]
218_spirit,spirit,53.0,SPIRIT,Geist[Seele]::N,"Geist [Lebensgeist, innere Kraft]",spirit [inner energy of a being],дух [внутренняя сила или сущность]
219_thought,thought,2975.0,THOUGHT,Gedanke::N,Gedanke [],thought [],мысль []
220_memory,memory,1018.0,MEMORY,Gedächtnis::N,Gedächtnis [Erinnerungsvermögen],memory [human ability to record information],память [способность запоминать информацию]
221_mind,mind,1562.0,MIND,Verstand::N,Verstand [Denkfähigkeit],mind [ability for rational thought],ум [способность мыслить]
222_meaning,meaning,2950.0,MEANING,Sinn::N,Sinn [Bedeutungsgehalt],meaning [denotation],"смысл [суть, содержание]"
223_reason,reason,2968.0,REASON,Grund::N,Grund [Begründung],"reason [motive, rationale]","причина [основание, повод]"
224_truth,truth,1638.0,TRUTH,Wahrheit::N,Wahrheit [],truth [],правда []
225_talk,talk,2933.0,CONVERSATION,Gespräch::N,Gespräch [],talk [conversation],беседа []
226_fairytale,fairy tale,2937.0,FAIRY TALE,Märchen::N,Märchen [],fairy tale [],сказка []
227_story,story,2060.0,STORY,Erzählung::N,Erzählung [mündlich],story [oral narration],рассказ [устный]
228_message,message,2961.0,MESSAGE,Nachricht[Botschaft]::N,Nachricht [],message [],сообщение []
229_news,news,2964.0,NEWS,Neuigkeit::N,Neuigkeit [],news [],новость []
230_name,name,1405.0,NAME,Name::N,Name [eines Menschen],name [of a person],имя [человека]
231_puzzle,puzzle,,,Rätsel::N,Rätsel [Aufgabe zum Erraten],puzzle [riddle],загадка [НАПР:загадать загадку]
232_speech,speech,1115.0,SPEECH,Rede::N,Rede [Ansprache],speech [long oral message],речь [устное выступление]
233_language,language,1307.0,LANGUAGE,Sprache::N,Sprache [],language [],язык [средство общения]
234_voice,voice,1363.0,VOICE,Stimme::N,Stimme [von Stimmbändern erzeugte Geräusch],voice [sounds uttered by vocal cords],голос [звуки горловых связок]
235_word,word,1599.0,WORD,Wort::N,Wort [sprachliche Einheit],word [unit of language],слово [единица языка]
236_sign,sign,1720.0,SIGN,Zeichen::N,Zeichen [Gegenstand mit Informationsgehalt],sign [object bearing a message],знак [символ]
237_call,call,2944.0,CALL (APPEAL),Ruf::N,Ruf [Aufruf],call [appeal],зов [призыв]
238_noise,noise,1182.0,NOISE,Lärm::N,Lärm [unangenehm lauter Schall],noise [unwanted loud sounds],"шум [гул, разные звуки]"
239_sound,sound,1811.0,SOUND OR NOISE,Laut::N,Laut [Geräusch],sound [sensation perceived by the ear],"звук [то, что воспринимается слухом]"
240_tone,tone,2995.0,TONE (MUSIC),Ton::N,Ton [Klang einer bestimmten Tonhöhe],tone [sound of a specific pitch],"тон [музыкальный звук, звук определённой высоты]"
241_song,song,1096.0,SONG,Lied::N,Lied [],song [],песня []
242_calm,calm,3458.0,SILENCE,Ruhe::N,Ruhe [Abwesenheit von Lärm und Störungen],calm [absence of noise and disturbances],покой [отсутствие шума и помех]
243_people,people,,,Leute::N,Leute [],people [many persons],люди []
244_nation,nation,789.0,PEOPLE,Volk::N,Volk [Menschen einer Ethnie],nation [community of people with a common culture],народ [совокупность людей общей культуры]
245_work,work,984.0,WORK (LABOUR),Arbeit::N,Arbeit [Tätigkeit],work [employment],"работа [занятие, труд]"
246_guest,guest,1782.0,GUEST,Gast::N,Gast [],guest [],гость []
247_gift,gift,2982.0,GIFT,Geschenk::N,Geschenk [],gift [],подарок []
248_game,game,2467.0,GAME,Spiel::N,Spiel [spielerische Betätigung],game [playful activity],"игра [занятие для развлечения, отдыха]"
249_company,company,2983.0,COMPANIONSHIP,Gesellschaft::N,Gesellschaft [Begleitung],company [companionship],общество [компания]
250_help,help,3467.0,HELP (ASSISTANCE),Hilfe::N,Hilfe [],help [],помощь []
251_friend,friend,1325.0,FRIEND,Freund::N,Freund [sehr nahestehender Mensch],friend [person whose company one enjoys],друг [связанный хорошими отношениями НАПР:друг детства]
